step,total_halting_vehicles,total_waiting_time_step,ns_queue,ew_queue,ns_avg_wait_current,ew_avg_wait_current
157,5,12.00,0,5,0.00,2.00
158,5,15.00,0,5,0.00,2.50
159,5,20.00,0,5,0.00,3.33
160,5,25.00,0,5,0.00,4.17
161,5,30.00,0,5,0.00,5.00
162,6,36.00,0,6,0.00,6.00
163,6,42.00,0,6,0.00,7.00
164,6,48.00,0,6,0.00,8.00
165,6,54.00,0,6,0.00,9.00
166,6,60.00,0,6,0.00,10.00
167,6,66.00,0,6,0.00,11.00
168,6,72.00,0,6,0.00,12.00
169,6,78.00,0,6,0.00,13.00
170,6,84.00,0,6,0.00,14.00
171,6,90.00,0,6,0.00,15.00
172,6,96.00,0,6,0.00,16.00
173,6,102.00,0,6,0.00,17.00
174,6,108.00,0,6,0.00,18.00
175,6,114.00,0,6,0.00,19.00
176,6,120.00,0,6,0.00,20.00
177,6,126.00,0,6,0.00,21.00
178,6,132.00,0,6,0.00,22.00
179,6,138.00,0,6,0.00,13.80
180,6,144.00,0,6,0.00,12.00
181,6,150.00,0,6,0.00,12.50
182,6,156.00,0,6,0.00,13.00
183,6,162.00,0,6,0.00,13.50
184,6,168.00,0,6,0.00,14.00
185,6,174.00,0,6,0.00,14.50
186,6,180.00,0,6,0.00,15.00
187,6,186.00,0,6,0.00,15.50
188,6,192.00,0,6,0.00,16.00
189,6,198.00,0,6,0.00,16.50
190,6,204.00,0,6,0.00,17.00
191,7,211.00,0,7,0.00,17.58
192,9,220.00,0,9,0.00,18.33
193,11,231.00,0,11,0.00,19.25
194,12,243.00,0,12,0.00,20.25
195,14,257.00,2,12,0.67,21.25
196,9,32.00,3,6,1.67,4.50
197,3,8.00,3,0,2.67,0.00
198,3,11.00,3,0,3.67,0.00
199,3,14.00,3,0,4.67,0.00
200,3,17.00,3,0,5.67,0.00
201,3,20.00,3,0,6.67,0.00
202,3,23.00,3,0,7.67,0.00
203,3,26.00,3,0,8.67,0.00
204,3,29.00,3,0,9.67,0.00
205,3,32.00,3,0,10.67,0.00
206,3,35.00,3,0,11.67,0.00
207,3,38.00,3,0,12.67,0.00
208,3,41.00,3,0,13.67,0.00
209,3,44.00,3,0,14.67,0.00
210,3,47.00,3,0,15.67,0.00
211,3,50.00,3,0,16.67,0.00
212,3,53.00,3,0,17.67,0.00
213,3,56.00,3,0,18.67,0.00
214,3,59.00,3,0,19.67,0.00
215,3,62.00,3,0,8.86,0.00
216,3,65.00,3,0,7.22,0.00
217,3,68.00,3,0,7.56,0.00
218,3,71.00,3,0,7.89,0.00
219,3,74.00,3,0,8.22,0.00
220,3,77.00,3,0,8.56,0.00
221,0,0.00,0,0,0.00,0.00
222,0,0.00,0,0,0.00,0.00
223,0,0.00,0,0,0.00,0.00
224,0,0.00,0,0,0.00,0.00
225,0,0.00,0,0,0.00,0.00
226,2,2.00,0,2,0.00,0.33
227,3,5.00,0,3,0.00,0.83
228,4,9.00,0,4,0.00,1.50
229,5,14.00,0,5,0.00,2.33
230,5,19.00,0,5,0.00,3.17
231,5,24.00,0,5,0.00,4.00
232,5,29.00,0,5,0.00,4.83
233,5,34.00,0,5,0.00,5.67
234,6,40.00,0,6,0.00,6.67
235,6,46.00,0,6,0.00,7.67
236,6,52.00,0,6,0.00,8.67
237,6,58.00,0,6,0.00,9.67
238,6,64.00,0,6,0.00,10.67
239,6,70.00,0,6,0.00,11.67
240,6,76.00,0,6,0.00,12.67
241,6,82.00,0,6,0.00,13.67
242,6,88.00,0,6,0.00,14.67
243,6,94.00,0,6,0.00,15.67
244,6,100.00,0,6,0.00,16.67
245,6,106.00,0,6,0.00,17.67
246,6,112.00,0,6,0.00,18.67
247,6,118.00,0,6,0.00,19.67
248,6,124.00,0,6,0.00,20.67
249,6,130.00,0,6,0.00,21.67
250,6,136.00,0,6,0.00,22.67
251,6,142.00,0,6,0.00,14.20
252,6,148.00,0,6,0.00,13.45
253,6,154.00,0,6,0.00,12.83
254,6,160.00,0,6,0.00,13.33
255,6,166.00,0,6,0.00,13.83
256,6,172.00,0,6,0.00,14.33
257,6,178.00,0,6,0.00,14.83
258,6,184.00,0,6,0.00,15.33
259,6,190.00,0,6,0.00,15.83
260,6,196.00,0,6,0.00,16.33
261,6,202.00,0,6,0.00,16.83
262,6,208.00,0,6,0.00,17.33
263,8,216.00,0,8,0.00,18.00
264,9,225.00,0,9,0.00,18.75
265,10,235.00,0,10,0.00,19.58
266,11,246.00,0,11,0.00,20.50
267,12,258.00,0,12,0.00,21.50
268,12,270.00,0,12,0.00,22.50
269,12,282.00,0,12,0.00,23.50
270,12,294.00,0,12,0.00,24.50
271,12,306.00,0,12,0.00,25.50
272,12,318.00,0,12,0.00,26.50
273,12,330.00,0,12,0.00,27.50
274,12,342.00,0,12,0.00,28.50
275,12,354.00,0,12,0.00,29.50
276,12,366.00,0,12,0.00,30.50
277,12,378.00,0,12,0.00,31.50
278,12,390.00,0,12,0.00,32.50
279,12,402.00,0,12,0.00,33.50
280,12,414.00,0,12,0.00,34.50
281,12,426.00,0,12,0.00,35.50
282,12,438.00,0,12,0.00,36.50
283,12,450.00,0,12,0.00,37.50
284,12,462.00,0,12,0.00,38.50
285,12,474.00,0,12,0.00,39.50
286,6,171.00,0,6,0.00,28.50
287,1,24.00,0,1,0.00,2.40
288,0,0.00,0,0,0.00,0.00
289,1,0.00,1,0,0.00,0.00
290,0,0.00,0,0,0.00,0.00
291,0,0.00,0,0,0.00,0.00
292,0,0.00,0,0,0.00,0.00
293,0,0.00,0,0,0.00,0.00
294,0,0.00,0,0,0.00,0.00
295,0,0.00,0,0,0.00,0.00
296,0,0.00,0,0,0.00,0.00
297,0,0.00,0,0,0.00,0.00
298,1,1.00,1,0,0.17,0.00
299,2,3.00,2,0,0.30,0.00
300,2,5.00,2,0,0.42,0.00
301,3,8.00,3,0,0.67,0.00
302,4,12.00,4,0,1.00,0.00
303,5,17.00,5,0,1.42,0.00
304,5,22.00,5,0,1.83,0.00
305,5,27.00,5,0,2.25,0.00
306,6,33.00,6,0,2.75,0.00
307,6,39.00,6,0,3.25,0.00
308,6,45.00,6,0,3.75,0.00
309,7,52.00,7,0,4.33,0.00
310,7,59.00,7,0,4.92,0.00
311,2,4.00,1,1,0.50,0.17
312,2,3.00,0,2,0.00,0.50
313,2,5.00,0,2,0.00,0.83
314,3,8.00,0,3,0.00,1.33
315,6,14.00,0,6,0.00,2.33
316,6,20.00,0,6,0.00,3.33
317,6,26.00,0,6,0.00,4.33
318,6,32.00,0,6,0.00,5.33
319,6,38.00,0,6,0.00,6.33
320,6,44.00,0,6,0.00,7.33
321,6,50.00,0,6,0.00,8.33
322,6,56.00,0,6,0.00,9.33
323,6,62.00,0,6,0.00,6.20
324,6,68.00,0,6,0.00,5.67
325,6,74.00,0,6,0.00,6.17
326,6,80.00,0,6,0.00,6.67
327,6,86.00,0,6,0.00,7.17
328,6,92.00,0,6,0.00,7.67
329,6,98.00,0,6,0.00,5.44
330,6,104.00,0,6,0.00,5.78
331,6,110.00,0,6,0.00,6.11
332,6,116.00,0,6,0.00,6.44
333,6,122.00,0,6,0.00,6.78
334,8,130.00,0,8,0.00,7.22
335,10,140.00,0,10,0.00,7.78
336,12,152.00,0,12,0.00,8.44
337,12,164.00,0,12,0.00,9.11
338,12,176.00,0,12,0.00,9.78
339,13,189.00,0,13,0.00,10.50
340,15,204.00,0,15,0.00,11.33
341,15,219.00,0,15,0.00,12.17
342,15,234.00,0,15,0.00,13.00
343,18,252.00,0,18,0.00,14.00
344,18,270.00,0,18,0.00,15.00
345,18,288.00,0,18,0.00,16.00
346,18,306.00,0,18,0.00,17.00
347,18,324.00,0,18,0.00,18.00
348,18,342.00,0,18,0.00,19.00
349,18,360.00,0,18,0.00,20.00
350,18,378.00,0,18,0.00,21.00
351,18,396.00,0,18,0.00,22.00
352,18,414.00,0,18,0.00,23.00
353,18,432.00,0,18,0.00,24.00
354,18,450.00,0,18,0.00,25.00
355,18,468.00,0,18,0.00,26.00
356,18,486.00,0,18,0.00,27.00
357,18,504.00,0,18,0.00,28.00
358,18,522.00,0,18,0.00,29.00
359,18,540.00,0,18,0.00,22.50
360,18,558.00,0,18,0.00,19.93
361,18,576.00,0,18,0.00,20.57
362,18,594.00,0,18,0.00,19.80
363,18,612.00,0,18,0.00,20.40
364,18,630.00,0,18,0.00,21.00
365,18,648.00,0,18,0.00,21.60
366,18,666.00,0,18,0.00,22.20
367,18,684.00,0,18,0.00,22.80
368,18,702.00,0,18,0.00,23.40
369,19,721.00,0,19,0.00,24.03
370,22,743.00,0,22,0.00,24.77
371,24,767.00,0,24,0.00,25.57
372,29,796.00,0,29,0.00,26.53
373,30,826.00,0,30,0.00,27.53
374,31,857.00,1,30,0.17,28.53
375,32,889.00,2,30,0.50,29.53
376,28,543.00,4,24,1.17,22.33
377,24,319.00,6,18,2.17,12.75
378,18,142.00,6,12,3.17,5.12
379,12,75.00,6,6,4.17,2.17
380,7,40.00,6,1,5.17,0.50
381,6,37.00,6,0,6.17,0.00
382,6,43.00,6,0,7.17,0.00
383,6,49.00,6,0,8.17,0.00
384,6,55.00,6,0,9.17,0.00
385,6,61.00,6,0,10.17,0.00
386,6,67.00,6,0,11.17,0.00
387,6,73.00,6,0,12.17,0.00
388,6,79.00,6,0,13.17,0.00
389,6,85.00,6,0,8.50,0.00
390,6,91.00,6,0,7.58,0.00
391,6,97.00,6,0,8.08,0.00
392,6,103.00,6,0,8.58,0.00
393,6,109.00,6,0,9.08,0.00
394,6,115.00,6,0,9.58,0.00
395,6,121.00,6,0,8.64,0.00
396,6,127.00,6,0,7.47,0.00
397,6,133.00,6,0,7.39,0.00
398,6,139.00,6,0,7.72,0.00
399,6,145.00,6,0,8.06,0.00
400,8,153.00,7,1,8.44,0.08
401,7,33.00,4,3,2.42,0.33
402,4,8.00,0,4,0.00,0.67
403,4,12.00,0,4,0.00,1.00
404,4,16.00,0,4,0.00,1.33
405,5,21.00,0,5,0.00,1.75
406,6,27.00,0,6,0.00,2.25
407,7,34.00,0,7,0.00,2.83
408,11,45.00,0,11,0.00,3.75
409,10,54.00,0,10,0.00,4.50
410,10,64.00,0,10,0.00,5.33
411,11,75.00,0,11,0.00,6.25
412,11,86.00,0,11,0.00,7.17
413,12,98.00,0,12,0.00,8.17
414,12,110.00,0,12,0.00,9.17
415,12,122.00,0,12,0.00,10.17
416,12,134.00,0,12,0.00,11.17
417,12,146.00,0,12,0.00,12.17
418,12,158.00,0,12,0.00,13.17
419,12,170.00,0,12,0.00,10.62
420,12,182.00,0,12,0.00,10.11
421,12,194.00,0,12,0.00,10.78
422,12,206.00,0,12,0.00,11.44
423,12,218.00,0,12,0.00,12.11
424,12,230.00,0,12,0.00,12.78
425,12,242.00,0,12,0.00,13.44
426,12,254.00,0,12,0.00,14.11
427,12,266.00,0,12,0.00,14.78
428,12,278.00,0,12,0.00,15.44
429,12,290.00,0,12,0.00,16.11
430,12,302.00,0,12,0.00,16.78
431,14,316.00,0,14,0.00,13.74
432,16,332.00,0,16,0.00,13.83
433,17,349.00,0,17,0.00,14.54
434,18,367.00,0,18,0.00,15.29
435,18,385.00,0,18,0.00,16.04
436,18,403.00,0,18,0.00,16.79
437,18,421.00,0,18,0.00,17.54
438,18,439.00,0,18,0.00,18.29
439,18,457.00,0,18,0.00,19.04
440,18,475.00,0,18,0.00,19.79
441,18,493.00,0,18,0.00,20.54
442,19,512.00,0,19,0.00,21.33
443,22,534.00,0,22,0.00,22.25
444,24,558.00,0,24,0.00,23.25
